1571829281,3,20,1,"CJ,C2,CQ,CA;DJ,DQ,DA,DK;D9,D6,D10,D8;C8,C9,C7,CK;D5,HJ,SQ,D7;D4,H10,HA,D2;D3,SA,HK,H6;S6,SJ,S10,SK;H9,C5,HQ,C10;H8,C4,H4,C6;H7,S8,H3,C3;H5,S4,S9,S5;H2,S2,S7,S3"
1571829281,3,19,1,"CQ,C10,C2,CA;DQ,DA,D10,DK;D9,DJ,D7,D5;D6,D8,D4,HA;H7,D3,D2,HK;C7,C4,CK,CJ;C3,SQ,C6,C9;H6,H9,HQ,C8;H5,H8,HJ,C5;SJ,S10,S3,SA;S9,S7,S2,SK;S8,S6,H10,S5;S4,H3,H2,H4"
1571829281,3,0,1,"C9,C2,CA,CJ;DA,DJ,D7,DQ;DK,D8,D3,D10;D5,D6,D2,D9;S10,S5,S8,SJ;S6,SA,S3,S9;SQ,CQ,CK,H10;HA,C7,C10,H8;HJ,C6,C8,H7;H5,C5,C4,H6;H4,HK,H2,S7;H3,HQ,SK,S4;D4,H9,C3,S2"
1571829281,3,0,1,"CJ,C10,C2,CA;DK,D10,DQ,DA;D6,D9,DJ,D8;D4,D5,D2,D7;C6,C9,CQ,CK;HK,C8,HA,C5;HJ,C7,HQ,C4;H2,C3,H9,SQ;SA,S10,SJ,SK;D3,H10,H7,H6;S9,S7,S8,S2;S6,H8,S5,H4;S4,H5,S3,H3"
1571829281,3,3,1,"C2,CA,C7,CJ;DJ,DQ,DK,DA;D4,D6,D7,D10;D3,HA,D5,D9;H8,HQ,D2,D8;S9,SJ,SA,S7;CK,C9,C6,HJ;CQ,C8,SQ,H7;C10,C3,HK,H6;C5,H9,H10,H3;C4,S10,H5,S5;S6,S8,SK,S4;H4,S3,H2,S2"
1571829281,3,2,1,"CA,C10,C2,CK;DQ,DK,DA,D10;DJ,SQ,D9,D8;D6,HA,D7,D5;HK,HQ,D3,D4;CJ,C8,CQ,C6;H2,HJ,D2,H8;SJ,S6,SK,SA;C9,C5,H10,C4;C7,H9,H7,C3;S8,S4,S10,S9;S7,H6,S5,H5;S2,H4,S3,H3"
1571829281,3,3,1,"C7,CK,CJ,C2;D9,D10,DA,DJ;HA,D6,DK,D8;H9,HJ,DQ,D7;H7,H6,D4,D5;C5,C10,C4,CA;H5,C9,C3,CQ;S9,SJ,S5,S8;H3,C8,HK,SQ;H2,C6,HQ,H10;SA,SK,S4,S2;S6,S10,D3,H8;S3,S7,D2,H4"
1571829281,3,0,1,"CA,C2,CQ,CK;DK,D9,DA,D10;D6,D8,DQ,D7;HK,D5,DJ,D3;CJ,C10,C7,C5;C9,C6,C3,C4;C8,SQ,HA,H10;SJ,S3,SA,S10;S9,HQ,SK,S7;S4,H9,S8,S6;H8,H7,HJ,S5;H6,H2,H4,D2;H5,D4,H3,S2"
1571829281,3,19,1,"C2,CJ,C9,C7;D8,D2,DK,DA;D6,HA,DJ,DQ;D3,HK,D5,D10;H8,HJ,D4,D9;H3,H10,SQ,D7;CA,C4,H9,C6;CK,C3,H5,HQ;CQ,H6,SA,H7;C10,H4,S8,SJ;C8,H2,S7,S10;C5,S9,S5,S6;SK,S2,S4,S3"
1571829281,3,19,1,"CA,C7,CK,C2;DK,DQ,DJ,DA;D8,D3,HA,D10;D7,D2,H9,D9;D4,SQ,H7,D6;H10,HK,H6,D5;CQ,C4,C8,C9;CJ,HJ,C3,C5;C10,H3,H5,HQ;C6,SK,S10,H4;SA,S8,S9,SJ;S4,S7,S6,S5;H8,S3,S2,H2"
1571829281,3,0,1,"CK,C2,C9,C8;DK,DA,D9,DQ;D10,D5,HA,DJ;D3,HQ,HK,D8;D2,H10,HJ,D7;SQ,H2,SA,D6;H9,CA,SK,D4;S8,S7,S10,SJ;H3,CQ,S9,H8;C10,CJ,S6,H7;C6,C7,C4,H6;C5,S5,S4,H5;C3,S2,S3,H4"
1571829281,3,3,1,"C2,C9,CA,CK;D9,DA,DJ,DQ;D4,DK,D6,D10;H8,D2,D5,D8;H6,HQ,D3,D7;C6,C7,CQ,C10;H4,C5,CJ,HK;H3,C4,C8,H10;SJ,S8,S5,S10;S4,S7,SA,S9;S3,HJ,SQ,S6;SK,H2,HA,H7;S2,C3,H9,H5"
1571829281,3,0,1,"C2,CA,CJ,C10;D10,DA,DQ,DK;D8,D9,DJ,D7;D6,D3,D4,SQ;D5,D2,HJ,HQ;CK,C9,C7,C8;CQ,C6,C4,C5;S7,SA,S9,SJ;S6,SK,S3,S8;S5,S10,H10,S4;HK,S2,H9,H4;H6,HA,H7,H2;H3,H8,H5,C3"
1571829281,3,9,1,"CK,CJ,CA,C2;D7,DJ,DA,DK;D6,D5,DQ,D9;SQ,HK,D10,D8;C7,C10,CQ,C9;C3,C5,C4,C8;HA,H7,H9,D4;HQ,H6,H5,D3;HJ,SJ,H3,D2;H10,S8,SA,C6;SK,S6,S10,S7;S5,S3,S9,H8;H2,S2,S4,H4"
1571829281,3,22,1,"C2,CA,CQ,C6;D9,DK,DA,DQ;D7,HQ,D5,DJ;D3,H6,D4,D10;SQ,H3,H9,D8;HA,CK,H7,D6;HK,C10,H4,D2;HJ,C9,CJ,C4;H10,C8,C7,C3;H8,C5,S8,H5;SK,S10,S5,SA;S9,S7,S3,SJ;H2,S4,S2,S6"
1571829281,3,19,1,"C2,CK,CA,CJ;DJ,DA,D8,DK;D9,D6,D5,DQ;D7,D2,D4,D10;CQ,C7,C10,C9;C3,HJ,C6,C8;SQ,H10,HK,C5;HA,H9,H5,C4;SA,SK,S8,SJ;S9,S10,S7,S4;S6,S3,S2,HQ;S5,H3,H4,H8;H7,H2,D3,H6"
1571829281,3,0,1,"CK,C2,CJ,CA;DA,DQ,DJ,DK;D9,D7,D10,D8;D5,D4,D6,HK;C7,CQ,C9,C10;H10,D3,HJ,HQ;H6,D2,H7,H9;C5,C3,C8,C6;SJ,S10,S7,S9;C4,SQ,H5,SK;S6,S8,SA,S4;H2,HA,H4,S3;S5,H8,H3,S2"
1571829281,3,3,1,"CA,C2,C5,CK;DK,D7,DA,DQ;DJ,D4,D5,D3;D10,HA,HJ,D2;D9,H9,H10,SQ;D8,H8,H5,HQ;D6,H2,H4,H7;C3,C10,C4,CQ;HK,C8,SK,CJ;H6,C7,S8,C9;H3,S10,S7,C6;SJ,S5,S6,SA;S9,S4,S2,S3"
1571829281,3,2,1,"CQ,C2,DJ,CJ;DA,DK,D10,HK;DQ,D8,D7,HQ;D9,D4,D6,H5;D3,H9,D5,H3;S8,S4,SJ,S10;S5,SA,S9,S7;C9,CA,HA,C10;C6,CK,HJ,C8;SQ,C7,H8,C5;H10,C3,H6,C4;S3,SK,S6,S2;D2,H7,H4,H2"
1571829281,3,11,1,"CQ,CA,CJ,C2;D10,D6,D9,DA;HQ,D5,D8,DK;HJ,HA,D7,DQ;H9,HK,D3,DJ;H8,H10,H7,D4;H4,H5,H6,D2;C9,CK,C5,C10;C7,C8,H2,SQ;C6,C3,SA,H3;C4,S10,SJ,SK;S6,S9,S8,S4;S3,S7,S5,S2"
1571829281,3,0,1,"C2,CQ,CA,CK;DK,DA,D10,DQ;DJ,D9,D7,D8;C4,C10,CJ,C6;SQ,D6,D5,H9;HA,D4,D3,H7;HJ,D2,HQ,H4;SA,SK,SJ,S8;S7,S9,S10,S6;H10,HK,C9,C5;H8,H6,C8,H2;H3,H5,C7,S4;S5,S3,C3,S2"
1571829281,3,0,1,"CQ,C2,C7,CA;DJ,DQ,DA,DK;D8,D10,D6,D7;D3,D9,D4,D2;SQ,D5,HQ,H10;C10,CK,C3,C9;C8,CJ,H9,C5;HA,C6,H8,H5;HJ,C4,H7,H3;S10,SJ,S9,SA;S8,S2,S6,SK;S7,HK,S5,S4;H4,H6,H2,S3"
1571829281,3,0,1,"CA,CK,CJ,C2;DJ,D7,DK,DA;D10,D5,D6,DQ;C10,CQ,C3,C8;D9,D2,HJ,SQ;D8,H6,H9,HA;D4,H4,H8,HK;D3,H3,SJ,H10;C6,C9,S9,C5;HQ,C7,S7,H7;H2,C4,S6,H5;SK,S10,S4,SA;S2,S8,S3,S5"
