1571635668,0,21,0,"CA,C2,CK,C6;DQ,DK,D10,DA;D9,DJ,D8,D6;D5,D7,D2,HK;CQ,CJ,C9,C5;D4,H6,SQ,H10;D3,H3,HA,H9;C10,C8,HQ,C3;C7,C4,HJ,H8;S7,S10,SA,SK;S5,S6,S8,SJ;H7,S4,S2,S9;H4,S3,H5,H2"
1571635668,0,5,0,"C2,CQ,C9,CA;DA,D6,DQ,DK;DJ,HK,D9,D3;D10,H7,D8,H10;D7,H2,D5,H8;C8,CJ,C6,CK;SQ,C10,HA,C3;H6,C7,HQ,H5;H4,C5,HJ,SK;S10,C4,H9,S9;S8,SA,H3,S7;S5,SJ,D4,S6;S3,S2,D2,S4"
1571635668,0,0,0,"C2,CA,C9,CJ;D5,D6,DQ,DA;D4,SQ,DJ,DK;HA,HJ,D9,D10;HK,H8,D8,D7;HQ,CQ,D2,D3;CK,C10,C4,C7;C5,C8,H10,C6;SK,SA,S4,S10;S9,SJ,S2,S7;S6,S8,H9,H7;H6,S5,H5,H4;C3,S3,H2,H3"
1571635668,0,1,0,"CK,DA,CA,C2;DQ,D8,D2,DK;D5,D3,SQ,DJ;D10,D4,H10,D9;D6,HA,H9,D7;CJ,HJ,CQ,C8;C9,H7,C10,C7;HQ,H6,C6,C5;H4,H2,C3,C4;SA,SJ,S7,S8;SK,S10,S5,S6;S3,S9,H8,HK;S2,S4,H3,H5"
1571635668,0,13,0,"CA,C9,C2,DK;DQ,D8,SQ,DJ;D6,DA,H8,D10;CQ,C8,CK,HA;C7,C4,CJ,HJ;H10,C3,C10,H9;H7,HK,C6,H2;H6,HQ,C5,D9;S9,SK,SA,S6;S7,SJ,S10,S2;S4,S3,S8,D7;D3,H4,S5,D5;D2,H3,H5,D4"
1571635668,0,23,0,"CA,CK,CQ,C2;DA,DJ,DK,DQ;D9,D10,D8,D6;D2,D5,D7,D3;CJ,C8,C9,C4;C10,C5,C7,C3;C6,SQ,H10,HQ;SJ,S6,SK,SA;S10,S2,S5,S8;S9,HA,H9,S4;S7,HK,H7,S3;HJ,H8,H3,H6;H4,D4,H2,H5"
1571635668,0,13,0,"C10,CQ,C2,CK;DK,DJ,D10,DA;C9,C6,CA,C4;DQ,D9,D7,SQ;D2,D8,D4,HA;HJ,D6,HQ,HK;H7,D5,H5,H8;H6,D3,H4,H3;C3,C5,CJ,H2;SA,H10,C8,SK;S10,H9,C7,S9;S6,SJ,S8,S7;S2,S4,S3,S5"
1571635668,0,1,0,"C10,CK,C9,C2;D5,D4,DA,D8;HK,HQ,DK,D6;HJ,H9,DQ,D3;H5,H8,DJ,SQ;H3,H6,D10,HA;C8,H2,D9,H4;C5,CQ,D7,CA;S9,CJ,D2,C4;S8,SK,S10,SA;S7,C7,S2,SJ;S5,C6,H10,S6;S4,C3,H7,S3"
1571635668,0,4,0,"CA,CK,CJ,C2;DK,DJ,DA,DQ;D8,D5,D2,D10;D7,D4,SQ,D9;HK,HA,HJ,D6;H8,HQ,H6,D3;C6,CQ,C9,C10;H7,C4,C7,C8;H5,H10,C5,C3;SA,S10,S9,SK;SJ,S5,S6,S8;S7,H9,S4,S3;H4,H2,H3,S2"
1571635668,0,6,0,"C2,CK,C6,CA;D8,DQ,DA,DK;D6,D10,D9,DJ;SQ,D5,D3,D7;CQ,CJ,C5,C8;C10,C9,HJ,C7;C4,C3,H5,H10;S9,HQ,SA,SK;S7,H9,S10,SJ;S3,H7,S5,S8;HA,H3,S4,S6;HK,D4,H4,H8;H2,D2,S2,H6"
1571635668,0,4,0,"CJ,C2,C10,CA;D8,DQ,DA,DJ;D5,D7,DK,D10;D3,D6,D9,D2;C6,CQ,C8,CK;C5,HQ,C4,C9;C3,HJ,SQ,C7;S10,SK,SA,S9;S5,S6,SJ,S7;HA,S3,S8,H10;HK,S2,S4,H9;H8,H7,H5,H6;H2,D4,H4,H3"
1571635668,0,17,0,"C2,CK,CA,C10;D9,D6,D10,DA;D8,D3,D5,DK;H8,H9,D4,DQ;H2,CQ,D2,DJ;CJ,C9,HJ,D7;S6,SA,SJ,S10;C8,C7,C5,SQ;C6,C4,H10,HA;C3,SK,H7,HK;S5,S9,S4,HQ;S3,S8,H5,H6;S2,S7,H3,H4"
