1571640971,1,0,3,"C2,CQ,C5,CA;DQ,DA,D9,D4;DJ,DK,D7,D3;D10,D6,D5,HQ;D8,HK,HA,HJ;D2,H9,H6,H10;CK,C8,H5,C9;CJ,C7,H2,C3;C10,C4,SA,H7;C6,H8,SK,H4;SJ,S8,S10,S9;S6,S4,S5,S7;SQ,S2,S3,H3"
1571640971,1,9,3,"C3,CA,C2,CK;DK,D10,DQ,DA;D8,D5,D9,DJ;D6,SQ,D3,D7;HK,CQ,C6,C10;H10,CJ,C5,C7;H9,C9,HQ,C4;H5,C8,HJ,HA;S10,SJ,S6,SA;S4,S9,S5,SK;S2,S7,H6,S8;H4,H8,H3,S3;D4,H7,D2,H2"
1571640971,1,7,3,"C2,CA,CK,C8;DQ,D10,DA,DK;DJ,D9,D8,D3;D4,D5,D7,HQ;SQ,D2,D6,H6;CQ,CJ,C9,C3;C6,C10,C7,H5;HJ,C5,H10,H4;H8,C4,H3,H2;SK,S2,SA,SJ;S4,HA,S9,S10;S3,HK,S6,S8;H7,H9,S5,S7"
1571640971,1,0,3,"CK,C10,C2,DJ;D10,DK,DA,D8;D9,D5,DQ,D7;CQ,C6,CA,SQ;C9,C4,CJ,HQ;C7,HA,C8,H4;C5,HK,C3,H2;S9,SA,SK,SJ;H10,D4,H9,D6;H6,HJ,H8,D3;H5,S7,H7,D2;S8,S4,S5,S10;S6,S2,H3,S3"
1571640971,1,19,3,"C2,CA,CK,C6;D6,DA,D9,DK;HK,DQ,D4,DJ;HJ,D10,D3,D7;H10,D8,D2,SQ;H6,D5,HA,C4;C10,C9,CQ,SK;C8,C3,CJ,SJ;H4,HQ,C7,S9;H3,H9,C5,S8;SA,S6,S10,S7;S2,S5,H8,S4;H2,H5,H7,S3"
1571640971,1,0,3,"CA,C2,C9,DK;DQ,DA,D8,DJ;D9,D10,D5,D6;D7,D3,D4,HA;CK,CJ,C3,HQ;CQ,C10,HK,H9;C8,C4,HJ,H8;C7,H4,H7,H6;C6,D2,H5,H3;C5,S9,SJ,H2;S6,S8,S7,S10;SQ,S4,S5,SA;H10,S3,S2,SK"
1571640971,1,6,3,"CK,C10,C2,CA;D9,DQ,DA,DK;D3,DJ,D8,D10;HA,D5,D6,D7;C9,C8,CQ,C7;HQ,D2,D4,HK;C4,C3,CJ,C5;H4,SQ,C6,HJ;SA,SK,S10,S8;S9,SJ,S2,S3;S7,S6,H8,H10;S4,S5,H6,H9;H2,H7,H3,H5"
1571640971,1,16,3,"C9,CK,C10,C2;D7,DK,D8,DA;D5,DJ,D4,DQ;HQ,H8,D3,D10;H9,H5,D2,D9;H7,CQ,HA,D6;C7,C8,HJ,CA;H4,C6,H10,CJ;H2,C5,H6,C4;SJ,C3,H3,SQ;S4,S8,SA,SK;S3,S6,S9,S10;S2,S5,S7,HK"
1571640971,1,0,3,"C7,CA,CK,C2;DA,D10,DK,D3;DQ,D9,DJ,H6;D7,D5,D8,H5;D6,D2,D4,H3;C5,CQ,C9,CJ;SJ,S10,S3,S9;C3,SQ,C8,C10;HK,HJ,C6,C4;S5,SA,S2,SK;HQ,S6,HA,S8;H9,H8,H10,S7;H7,H4,H2,S4"
1571640971,1,15,3,"C2,C10,C8,CK;DQ,DA,D9,DK;D10,DJ,D8,D6;D2,D7,D5,SQ;HQ,D4,D3,HK;CA,C9,C3,CJ;CQ,HJ,HA,C5;C7,H8,H10,H7;C6,H6,H9,H3;C4,S10,H5,H2;S9,S5,S8,SA;S7,S4,S6,SK;S2,S3,H4,SJ"
1571640971,1,3,3,"CA,C7,C5,C2;DJ,DQ,D10,DA;D8,D6,D7,DK;HJ,D2,D5,D9;H10,SQ,D3,D4;CQ,C6,C3,CK;C10,H5,HK,CJ;S6,SJ,S10,SA;S3,S9,S8,SK;H6,S7,S4,S5;C9,S2,H9,HA;C8,H3,H7,HQ;C4,H2,H4,H8"
