1571724723,1,0,3,"C2,CA,CJ,C7;D10,DA,DK,D8;D2,DJ,DQ,D6;HQ,D9,D7,D5;H9,D4,D3,SQ;H8,CK,C8,C6;H7,CQ,H10,C4;H2,C10,H6,HA;S10,C9,H3,HK;S7,C5,SA,H5;S6,C3,SK,H4;S3,SJ,S9,S5;S2,HJ,S8,S4"
1571724723,1,3,3,"CK,C2,CQ,C9;D8,DJ,DK,DA;D2,D7,D10,DQ;HQ,SQ,D9,D5;HJ,HA,D6,D4;CJ,CA,C8,C3;C5,C10,C7,H6;SJ,SA,S4,SK;S7,S10,S2,S8;H8,S9,H10,S6;H7,S3,H9,S5;H4,HK,C6,D3;H3,H2,C4,H5"
1571724723,1,0,3,"C9,CQ,CA,C2;DA,DJ,D9,DK;DQ,D6,D7,D8;D10,D3,D4,SQ;D5,HK,HA,H9;D2,H7,HJ,H5;C7,CJ,CK,C8;HQ,C6,C10,C5;S7,SK,SA,S10;S2,S8,SJ,S6;H10,H3,S9,S4;H8,C4,S5,S3;H2,C3,H6,H4"
1571724723,1,1,3,"C10,CK,C2,CA;D9,D8,DA,DK;D6,D7,DQ,DJ;C9,CJ,CQ,H9;C8,C7,C6,H8;D5,SQ,HK,D10;D2,SA,HQ,D4;HA,SJ,HJ,D3;H5,S9,S10,SK;H4,S6,S7,S8;H3,S5,S3,S2;C3,C4,C5,H7;H2,S4,H10,H6"
1571724723,1,6,3,"C3,CK,CA,C2;DJ,DA,D8,DQ;D10,DK,D5,D3;D9,D7,D2,HA;S9,SA,SJ,S8;HK,D6,H8,HJ;HQ,D4,H3,H6;H5,C8,CJ,CQ;H4,SQ,C5,C10;H2,H10,C4,C9;S5,H9,S10,C7;S4,H7,S7,C6;S3,SK,S6,S2"
1571724723,1,4,3,"C2,C5,CA,C10;DK,D8,DA,DQ;D9,D2,DJ,D7;D4,HQ,D10,D6;SQ,HJ,D5,D3;CQ,H10,CK,C9;C7,H8,CJ,C3;C6,H6,C8,HA;HK,H3,C4,H9;S10,SA,SK,SJ;S9,S7,S3,S8;S2,S6,H7,S4;H5,S5,H2,H4"
1571724723,1,3,3,"CK,C2,CA,C6;DQ,D2,DK,DA;D9,SQ,D3,DJ;D7,HA,HQ,D10;D5,HK,HJ,D8;D4,H4,H9,D6;C7,CQ,CJ,C4;C3,C10,C8,H6;H10,C9,C5,H5;SK,SJ,SA,S9;S6,S10,S8,S7;S4,S5,S3,S2;H7,H2,H8,H3"
1571724723,1,11,3,"CK,C8,C2,CA;DQ,DK,DA,DJ;D3,D10,D9,D6;D2,D8,HA,D4;HK,D7,HJ,HQ;H10,D5,H3,H9;C9,C6,C10,CQ;H7,C4,C7,CJ;H5,SQ,C5,C3;SK,SA,S9,S10;S7,SJ,S4,S8;S5,H6,H2,H4;S2,H8,S3,S6"
1571724723,1,22,3,"CA,C2,C6,CK;DK,DA,DJ,DQ;D8,D7,D4,D10;D5,HA,D3,D9;HK,H10,D2,D6;CQ,C10,C5,C9;CJ,C8,C3,C7;S10,SJ,S9,S8;HJ,C4,HQ,SQ;S7,SK,S6,SA;S5,S4,H7,S2;H4,H9,H6,H8;H5,S3,H2,H3"
1571724723,1,16,3,"CA,C2,C10,CQ;DQ,D6,DK,DA;DJ,HA,D9,D10;D8,HK,D5,H7;D7,H9,D2,H4;D4,H8,HQ,H3;D3,SA,H10,SK;CJ,CK,C4,C9;C7,C8,C3,S10;SQ,C6,H5,S9;HJ,C5,H2,S8;S2,S4,SJ,S7;H6,S3,S6,S5"
1571724723,1,3,3,"C2,C8,D10,CA;DA,DQ,D7,DK;CK,C7,SQ,CQ;CJ,C6,H8,C9;C10,H10,H5,C4;C5,H9,SA,C3;SK,S10,SJ,S2;S5,S8,S9,HJ;HA,D8,D6,DJ;HK,D4,D5,D9;HQ,H2,S6,H4;S3,S7,D3,H7;H3,S4,D2,H6"
1571724723,1,2,3,"CK,C2,CJ,CA;DA,D7,DQ,DK;DJ,D4,D10,D9;D5,HJ,D8,D6;SQ,H10,D2,D3;CQ,H8,C10,C5;C8,H6,C9,HQ;C4,H3,C7,H9;HA,H2,C6,H7;SK,SJ,C3,H5;S10,S7,SA,S5;S9,S6,S8,S3;S2,S4,HK,H4"
