1571828288,1,1,0,"CJ,C2,CK,CA;DK,D10,DA,D9;DQ,D8,DJ,D7;D2,SA,D6,D5;SQ,S10,D4,CQ;SK,S9,D3,SJ;C7,C4,C9,C10;S3,S8,C8,S7;C6,S6,C5,S5;C3,S4,H9,S2;HA,HJ,H5,HQ;HK,H6,H3,H8;H10,H4,H2,H7"
1571828288,1,26,0,"C2,CA,CK,CJ;DK,DA,DQ,DJ;D4,D10,D8,D9;D2,D6,D7,D3;SA,CQ,D5,SQ;C10,C4,C5,C9;C7,C3,SK,C8;S8,S10,S9,SJ;HA,HK,S7,S5;HQ,HJ,S6,S4;H9,H10,S3,H7;H2,H5,S2,H6;C6,H3,H8,H4"
1571828288,1,4,0,"C10,C2,CA,C8;D10,DK,DA,DQ;SQ,D7,D8,DJ;SA,D5,D2,D9;SK,D3,C5,D6;SJ,CK,C4,D4;C9,CQ,S2,C7;S10,CJ,HQ,C3;HA,C6,H8,H9;S8,S6,H7,S9;HK,S4,H6,S7;H10,HJ,H4,S5;H5,H3,H2,S3"
1571828288,1,16,0,"C10,C2,CJ,CK;DK,DA,D7,D9;DQ,DJ,D5,D2;D6,D10,SQ,SJ;D4,D8,SA,S10;C9,D3,SK,C7;C8,CA,C5,C4;S6,CQ,S9,C3;HJ,C6,H7,HA;H10,S7,S8,S5;H6,S3,S4,HK;H5,H9,H3,HQ;H4,S2,H2,H8"
1571828288,1,0,0,"CQ,C2,CA,C10;CJ,C5,CK,C9;C6,D10,C7,C8;DA,D9,SA,DK;DQ,D2,S9,D7;DJ,S4,S8,D5;D8,S3,S7,D4;D6,HA,S6,D3;C3,H9,C4,SQ;SK,H8,S2,SJ;S10,H6,HQ,S5;HK,H4,HJ,H10;H7,H2,H5,H3"
1571828288,1,0,0,"C2,CK,DK,C10;DA,D6,DQ,D10;D9,SJ,DJ,D8;D7,S10,D5,SA;D3,S9,D4,C9;CA,S7,D2,C8;S6,S5,SQ,S8;CQ,S3,SK,S4;HA,C7,H10,HK;CJ,C6,H9,HQ;H8,C5,H5,HJ;H7,C4,H4,S2;H6,C3,H3,H2"
1571828288,1,3,0,"C2,CQ,C9,CK;DA,D4,DJ,DQ;DK,CJ,D9,D2;D10,S9,D8,SQ;D7,S8,D3,SK;D6,C8,S10,SJ;D5,C6,S7,C7;CA,C3,HA,S5;C10,HK,HQ,H10;C5,H8,HJ,H7;C4,H5,H9,S4;SA,S6,H6,S3;H2,H4,H3,S2"
1571828288,1,4,0,"C2,CJ,CA,C10;D10,DQ,DJ,DA;D9,D4,D6,DK;D8,D3,CK,D7;CQ,C5,C9,SA;C8,SQ,C6,SJ;C7,S10,C4,D5;S8,S9,SK,D2;S6,S7,C3,HK;S3,S2,S5,HQ;H9,HJ,S4,H7;H6,H10,HA,H4;H2,H8,H5,H3"
1571828288,1,8,0,"CK,C8,C2,CQ;D7,D5,DA,DK;D6,SK,DQ,DJ;CJ,C7,CA,C10;C9,C6,C4,C3;D4,S10,SQ,D10;D3,S7,S9,D9;D2,S6,S5,D8;SA,C5,S2,SJ;S8,HA,HJ,S4;HQ,HK,H10,H9;H7,H8,H4,H6;H5,H2,H3,S3"
1571828288,1,13,0,"CQ,C9,CA,C2;DQ,DA,D8,DK;D6,DJ,SQ,D10;D5,D9,SA,D4;D2,D7,SJ,D3;CJ,C7,C10,CK;C5,C6,S5,C8;C3,S10,S3,C4;SK,S8,S2,S9;S6,S4,HJ,S7;HQ,HK,H10,HA;H6,H7,H9,H8;H2,H3,H5,H4"
1571828288,1,0,0,"C10,CA,CK,C2;DA,D8,DQ,DK;D6,SQ,DJ,D10;D5,S9,D9,D7;C8,C6,CJ,CQ;D4,C5,SA,D3;C3,C4,C7,C9;H10,HA,SK,D2;SJ,HK,S10,S7;S8,HQ,S6,S5;S3,H4,S2,S4;H8,H3,HJ,H7;H6,H2,H9,H5"
