1571828564,1,1,1,"CA,CQ,C2,C9;DK,DA,DJ,D10;DQ,D5,D7,D9;D8,H10,D6,D4;D3,H8,HA,D2;CK,CJ,C8,C4;C10,H7,HK,C3;C7,H6,H9,SQ;C6,H5,H4,HQ;C5,SK,SA,HJ;S6,S9,S10,SJ;H3,S8,S7,S5;H2,S2,S4,S3"
1571828564,1,11,1,"C3,CA,CK,C2;DA,DJ,DQ,DK;D10,D7,D6,D9;D2,SQ,D4,D8;HA,H10,D3,D5;HQ,CQ,C6,C10;HJ,CJ,C4,HK;H8,C9,H6,H5;H7,C8,H4,SA;SJ,C7,H2,SK;S9,C5,S8,S10;S3,H9,S7,S5;S2,H3,S6,S4"
1571828564,1,22,1,"C8,C2,CJ,CA;DA,DJ,DQ,DK;D3,D10,D5,D9;SQ,D8,HQ,D2;HK,D7,HJ,HA;H5,D6,H3,H10;SA,D4,H2,H9;C4,C7,C10,CK;SK,C5,C9,CQ;S9,H7,C3,C6;S7,S8,S10,SJ;S6,H6,S5,S2;S3,H4,S4,H8"
1571828564,1,18,1,"CJ,CK,CA,C2;D10,DK,D9,DA;H9,DQ,D8,DJ;H6,D6,D7,D4;C9,C10,C6,CQ;SK,D5,HK,D3;C7,C8,C4,HA;S8,SQ,SJ,S10;S7,SA,S5,S9;S6,HJ,H5,HQ;C5,H10,H3,D2;C3,H8,S4,H7;S3,H2,S2,H4"
1571828564,1,24,1,"C2,C6,CA,CJ;DA,DK,DJ,D7;D3,DQ,D6,D5;SQ,D10,H5,D4;H10,D9,H4,D2;CK,D8,H3,HJ;CQ,C5,C4,C10;C9,C3,SA,C8;C7,HA,S9,H9;SJ,SK,S6,S3;S10,HK,S5,H8;S8,HQ,S4,H7;S7,H6,S2,H2"
1571828564,1,0,1,"C10,C2,CA,CJ;DA,D8,DK,D9;D10,D6,DQ,D3;D7,D5,DJ,D2;C9,C5,CK,C8;C6,C4,CQ,C7;HA,H8,C3,SQ;S4,SJ,S10,SA;HQ,S9,S8,SK;H9,H3,HK,HJ;H7,S6,S7,H10;H5,S3,S5,H6;D4,S2,H4,H2"
1571828564,1,0,1,"C9,C4,C2,CA;C8,HJ,C10,CK;C3,H10,SQ,CQ;HA,H9,HK,CJ;H6,DQ,HQ,C7;H2,D10,H7,C6;SA,S10,H3,C5;SK,S9,S8,SJ;DK,D6,DA,H8;DJ,D4,D8,H5;D9,S7,D7,H4;D5,S4,D2,S5;D3,S3,S6,S2"
1571828564,1,0,1,"C2,CJ,CK,CA;DJ,DQ,D8,DA;D10,D9,D7,DK;D2,H5,D6,D5;HQ,H3,D4,SQ;H8,C10,D3,HA;CQ,C9,C8,C5;C7,C3,C6,H6;C4,S10,HK,H4;SJ,S9,HJ,SA;S8,S5,H10,SK;S7,S3,H9,S6;H2,S2,H7,S4"
1571828564,1,0,1,"CA,CQ,C2,CK;DQ,D6,DA,DK;D8,D2,DJ,D10;D4,HA,D7,D9;SQ,H8,D5,D3;SA,SK,SJ,S5;CJ,C3,HQ,C10;C5,H6,HJ,C9;HK,H5,H10,C8;H9,S10,H4,C7;H7,S9,H2,C6;S6,S8,S7,C4;S2,S4,S3,H3"
1571828564,1,3,1,"C2,CA,C10,CK;D5,DA,DK,D9;D4,D10,DQ,D7;D3,D8,DJ,D2;H7,SQ,D6,HQ;C8,CJ,C9,CQ;C6,C3,C5,C7;S9,SJ,S5,SA;S8,S10,HA,SK;S7,S4,H10,S2;S6,HK,H8,HJ;S3,H9,H3,H5;H4,H6,C4,H2"
1571828564,1,2,1,"CA,CQ,C2,C10;DQ,DK,D10,DA;H10,D7,D9,DJ;H8,D6,D2,D8;H7,HK,SQ,D5;H4,H9,HA,D4;H3,H5,HQ,D3;CJ,C7,CK,C8;C9,C6,C3,C4;S8,SA,SJ,SK;H2,C5,S10,HJ;S7,S9,S6,S4;S5,S2,S3,H6"
1571828564,1,15,1,"CA,C8,C2,C10;D9,DA,DK,DJ;D7,D10,DQ,D8;SQ,D6,D2,D4;H8,D5,H10,D3;CQ,C7,CK,C5;CJ,C3,C6,C4;C9,HQ,H9,HA;SK,SA,SJ,S5;S9,S7,S10,HK;S6,H7,S8,HJ;S4,H4,S3,H6;H3,H2,S2,H5"
1571828564,1,7,1,"CA,CK,C2,CQ;DK,DA,D9,D8;DQ,D10,D6,D7;DJ,HK,SQ,D4;D5,SA,HA,D2;D3,SJ,HQ,H9;C4,CJ,C10,C9;H10,C8,C6,C5;H7,C7,HJ,H8;H6,C3,H4,H5;S7,S8,S9,SK;S5,S6,S3,S10;S4,S2,H3,H2"
