1571829985,1,19,1,"CQ,C6,C2,CJ;DQ,DK,DA,D10;D9,D8,DJ,D5;D6,D7,D4,HK;SQ,D3,HJ,HQ;H8,D2,H9,H10;SJ,S6,SA,SK;C10,HA,CA,C9;C3,H7,CK,C7;S10,H4,C8,H5;S9,S5,C5,H3;S8,S4,C4,H2;S3,S2,H6,S7"
1571829985,1,0,1,"CJ,CA,CQ,C2;DA,DQ,D5,DJ;DK,D9,HJ,D3;D10,D8,H8,HK;D7,D2,H7,H9;D6,SQ,H6,H3;D4,H10,H4,SA;C7,CK,C10,SK;C3,C5,C9,S10;HA,C4,C8,S8;HQ,H5,C6,S6;SJ,S9,S7,S4;S5,H2,S2,S3"
1571829985,1,23,1,"CK,C2,CQ,CA;DQ,DA,DJ,D7;D8,DK,D10,D4;D6,D9,D5,HA;C4,CJ,C10,C7;SQ,C9,C6,C5;H6,C8,C3,HQ;SA,S9,S8,SJ;D3,HJ,D2,H10;SK,S5,S6,S10;S7,S3,HK,S4;H3,H9,H7,H5;H2,H8,H4,S2"
1571829985,1,2,1,"CA,CK,C2,CJ;D10,DA,DQ,DK;D9,D5,DJ,D7;D6,D4,D8,HA;CQ,C8,C10,C7;D2,D3,HK,HQ;C9,C3,C6,C5;S4,SJ,S8,S5;SK,S10,S7,S3;SQ,S9,S2,SA;H9,H5,H7,HJ;H8,H4,H2,H10;H6,S6,C4,H3"
1571829985,1,17,1,"C8,CK,CA,C2;HQ,DA,D8,DK;H10,DQ,D3,D10;H9,DJ,SQ,D9;H8,D4,HJ,D7;H7,HA,H6,D6;SA,HK,CJ,D5;S10,H4,C10,D2;C7,CQ,C5,C6;C4,C9,S8,H5;S5,SJ,S7,SK;S2,S9,S4,S6;C3,H2,S3,H3"
1571829985,1,0,1,"C10,CJ,CK,C2;DK,DA,D7,DJ;DQ,D10,HK,D2;D9,D5,H10,SQ;D8,D4,H8,HA;D6,HQ,H2,H9;D3,HJ,SA,H4;C6,C7,C9,CA;C3,H5,C8,CQ;H7,SJ,C5,C4;S6,S10,S9,SK;H6,S7,S5,S8;H3,S3,S4,S2"
1571829985,1,11,1,"CQ,CA,CK,C2;DJ,DQ,DA,DK;D8,D7,D9,D10;D4,D3,D6,D5;SQ,H8,D2,HJ;S10,SK,SA,SJ;S7,S9,S5,S6;C10,CJ,H10,C8;HA,C9,H7,C7;HK,C6,H5,C4;HQ,C5,H4,H9;H3,C3,S4,H6;S3,S8,S2,H2"
1571829985,1,7,1,"CA,C7,CQ,C2;D8,DA,DK,DQ;D5,DJ,D10,D7;HQ,D9,D4,D3;H7,D6,HK,H9;H4,D2,H10,H3;S9,S10,S5,SJ;C5,SQ,C10,CK;C4,HA,C6,CJ;SK,HJ,H8,C9;S8,H6,H5,C8;S6,S7,H2,C3;S3,S4,S2,SA"
1571829985,1,4,1,"C2,CJ,CQ,CA;DJ,DA,D10,DK;D8,DQ,D9,D5;D2,D6,D7,H9;SQ,HJ,D4,H7;HK,H8,D3,H3;C8,C7,C3,CK;C6,C5,HA,C10;C4,H4,H5,C9;S10,SA,S9,SK;HQ,SJ,S7,S6;H10,S8,S5,S2;H6,S4,S3,H2"
1571829985,1,4,1,"C6,CA,C2,C9;DA,DJ,D6,D9;DK,D8,D5,D7;DQ,SQ,D3,D4;D10,HA,D2,HJ;C4,CK,CQ,C7;HQ,C10,CJ,C3;H8,C5,C8,H10;S8,SA,SJ,SK;S5,S9,S10,S7;H5,S2,S4,S6;H4,HK,H9,S3;H2,H7,H6,H3"
1571829985,1,19,1,"C10,CK,CA,C2;DA,DQ,D7,DK;D8,DJ,D6,D10;D4,D9,D3,HJ;SQ,D5,HA,H3;HQ,D2,HK,H2;C8,C9,CJ,CQ;C6,C3,C7,C4;SK,S7,S5,SA;SJ,S3,S4,S10;C5,H6,H10,S9;S6,H5,H9,S8;H8,H4,H7,S2"
