1571639980,2,0,0,"CA,CK,C8,C2;DA,DQ,D7,DK;D9,D10,D6,DJ;D2,D8,D4,D3;SQ,D5,HA,HJ;CQ,C5,C6,CJ;C10,C3,H10,C9;C7,HQ,H9,H8;C4,H5,H7,H6;SJ,SA,S9,SK;S5,S6,S8,S10;HK,S3,S2,S7;H3,H4,H2,S4"
1571639980,2,0,0,"CA,CK,C2,C5;D8,DA,D5,DQ;D6,DK,D2,D10;D3,DJ,HQ,D7;SQ,D9,H10,D4;C10,CQ,CJ,C3;C6,C9,C7,HK;H8,C8,C4,HJ;SA,S8,S10,S6;SK,S3,S7,S4;SJ,HA,S5,H9;S9,H5,S2,H6;H7,H4,H3,H2"
1571639980,2,17,0,"CQ,C2,CA,CK;DA,DK,DQ,D4;D7,DJ,D10,HA;D6,D8,D9,HQ;D5,HK,D3,H10;D2,H9,HJ,H4;CJ,C5,C8,C9;C10,H8,C6,C7;S10,SJ,S4,S9;S8,SK,S3,S7;SQ,H6,H7,H3;S6,H5,C3,C4;S5,H2,S2,SA"
1571639980,2,0,0,"C2,CJ,C8,CA;D10,D5,DQ,DA;D6,D2,D8,DK;HK,SQ,D7,DJ;HQ,HA,D3,D9;HJ,H9,H10,D4;CQ,C10,C7,CK;H6,C9,C5,C6;H4,C4,C3,H8;SK,S10,S8,SA;S6,S5,S7,SJ;S2,S4,S3,S9;H2,H3,H5,H7"
1571639980,2,2,0,"C10,C2,CA,CQ;D9,DQ,DA,DK;D4,DJ,D8,D10;D2,D7,D5,SQ;HK,D6,HA,H10;HQ,D3,HJ,H8;C8,CK,H4,C9;C5,CJ,H3,C7;C3,C4,SA,C6;S9,H9,S8,SK;S3,H7,S7,SJ;S2,H6,S6,S10;H5,H2,S5,S4"
1571639980,2,3,0,"CQ,CA,CK,C2;DA,D10,DK,DQ;DJ,D6,HA,D7;D9,SQ,HK,D5;D8,H6,HJ,D3;D4,H4,H9,HQ;D2,CJ,H5,H10;C9,C5,C7,C10;S9,S5,SA,SJ;C8,C4,C6,H8;S7,S4,SK,S10;H3,S2,S8,S6;H2,C3,S3,H7"
1571639980,2,2,0,"CK,CA,C2,CQ;DA,DQ,D7,D10;DK,D2,D6,D9;DJ,H10,SQ,D5;D8,H9,HK,D4;C8,CJ,C10,HJ;C5,C9,C6,H3;C4,C7,HQ,H2;SK,SA,S4,SJ;S10,S9,S3,S8;C3,H5,H8,D3;HA,S7,H7,S5;H4,S6,H6,S2"
1571639980,2,0,0,"CK,C6,C10,C2;D7,DQ,DK,DA;D5,DJ,HA,D9;SQ,D10,H9,D4;H8,D8,H4,D3;H7,D6,H3,HK;H6,D2,C3,HQ;S9,S10,SK,SA;CJ,HJ,SJ,CA;C9,H10,S5,CQ;C8,S8,S4,C5;C7,S7,S3,H5;C4,S6,S2,H2"
1571639980,2,9,0,"CJ,C2,CK,CA;DJ,HA,DA,D9;D10,HQ,DK,D7;D3,H9,DQ,D6;D2,H8,D8,D4;HJ,H6,D5,HK;C8,CQ,C9,C10;H10,C5,C6,C7;H2,H4,C4,C3;S10,S6,S9,SJ;S8,S5,S2,SK;S7,H3,SQ,H7;S4,S3,SA,H5"
1571639980,2,0,0,"DA,CK,CA,C2;DQ,D9,DK,DJ;D2,D5,D8,D10;H9,HK,D6,D7;H6,HJ,D3,D4;H5,CQ,CJ,C10;H4,C8,C3,C9;H3,C6,HA,C7;H2,C5,H8,C4;SJ,S9,S8,S10;S7,S6,S3,SQ;SK,H10,SA,HQ;S4,S5,S2,H7"
1571639980,2,22,0,"CK,C9,CA,C2;DQ,D10,DA,DK;D4,D9,DJ,D5;H9,D7,D8,D2;H6,D3,D6,HA;CJ,C7,C8,CQ;C6,C5,C3,C10;S10,SJ,S4,S5;S8,S9,SA,HK;S3,S7,SK,HJ;H5,HQ,H10,H8;H4,S6,SQ,H7;C4,S2,H3,H2"
1571639980,2,0,0,"CK,CQ,CA,C2;DK,DJ,DA,DQ;D8,D4,D10,D9;D3,HQ,D6,D7;HA,H5,D2,D5;C10,CJ,C9,C8;C7,C4,SQ,C6;C5,SA,H10,HJ;C3,SJ,H6,H8;S3,S10,S8,SK;HK,S7,S4,S9;H9,S6,H3,H7;H4,S5,S2,H2"
1571639980,2,0,0,"C7,C2,CK,CA;DA,D9,DK,DQ;DJ,D3,D7,D6;D10,SQ,D2,D5;D8,H9,H8,HA;D4,CQ,H6,HQ;C6,C10,C8,CJ;C4,C5,H5,C9;S9,S10,SA,SK;HK,S6,S7,SJ;HJ,S5,S2,S8;H10,S3,H3,S4;H4,C3,H2,H7"
